,epoch_losses,elapsed_time,epoch_accuracies
0,2.277540426518617,29.693794563412666,0.18249711264043983
1,1.8683258188304617,56.299475483596325,0.3678260483085982
2,1.3837763205774303,84.00040821544826,0.5041089197084594
3,1.1948000675579633,110.73320414498448,0.578252709623593
4,1.0604923764017344,137.40580763295293,0.6342450692963753
5,0.9513613075844006,163.827400887385,0.6786325070649576
6,0.8708794284731086,190.63219144567847,0.7086664889412903
7,0.7968295337294719,215.68187504447997,0.7367903784648188
8,0.7278960779912944,239.5196861848235,0.7600390902206079
9,0.6821198295682732,268.0109879914671,0.775319829424307
10,0.6523804217894703,295.7679983265698,0.7851701315277929
11,0.6308311971265879,319.91900825314224,0.7924828980523132
12,0.6154318484924496,346.0560708902776,0.7975968372847225
13,0.6028413261050609,375.8713994603604,0.8012337863826549
14,0.5907698028377378,402.7986033037305,0.8049151563186889
15,0.5809916195584767,425.57872820459306,0.8088075249179848
16,0.572102253053234,451.79031078889966,0.8129719705469827
17,0.5643752090203991,476.8529162276536,0.8157649253731343
18,0.5577076076190355,503.34761875867844,0.8176083865958744
19,0.5513577982942178,527.9656748604029,0.8201237117557891
20,0.5461196047283693,553.6477605849504,0.8220115938166311
21,0.5417441648842175,579.887010043487,0.8240105277185501
22,0.5380216596731499,605.7774291411042,0.8248767324093816
23,0.5346217483345633,632.2336215749383,0.8260205667664502
24,0.5312080020462272,659.1739154923707,0.8271699537600535
25,0.5282571976627114,688.2082575075328,0.8288357320116527
26,0.5253861010837149,713.347865594551,0.8297185944850003
27,0.5226675521081953,739.5468538925052,0.8307680347835077
28,0.5200999271767989,764.0842290222645,0.8313010838240195
29,0.5176837505308042,788.7976457048208,0.8319340795596272
